,GID_1,NAME_1,prev_mpm
0,NGA.1_1,Abia,14.5
1,NGA.2_1,Adamawa,10.7
2,NGA.3_1,Akwa Ibom,30.1
3,NGA.4_1,Anambra,5.4
4,NGA.5_1,Bauchi,31.7
5,NGA.6_1,Bayelsa,16.7
6,NGA.7_1,Benue,17.6
7,NGA.8_1,Borno,5.6
8,NGA.9_1,Cross River,23.6
9,NGA.10_1,Delta,10
10,NGA.11_1,Ebonyi,25.7
11,NGA.12_1,Edo,22.6
12,NGA.13_1,Ekiti,20.8
13,NGA.14_1,Enugu,24.3
14,NGA.15_1,Federal Capital Territory,18.8
15,NGA.16_1,Gombe,17.7
16,NGA.17_1,Imo,15.5
17,NGA.18_1,Jigawa,25.4
18,NGA.19_1,Kaduna,16.2
19,NGA.20_1,Kano,25.5
20,NGA.21_1,Katsina,29.3
21,NGA.22_1,Kebbi,49
22,NGA.23_1,Kogi,15.9
23,NGA.24_1,Kwara,5.6
24,NGA.25_1,Lagos,2.6
25,NGA.26_1,Nasarawa,15.3
26,NGA.27_1,Niger,20.7
27,NGA.28_1,Ogun,24.9
28,NGA.29_1,Ondo,26.7
29,NGA.30_1,Osun,19.3
30,NGA.31_1,Oyo,20.9
31,NGA.32_1,Plateau,18.8
32,NGA.33_1,Rivers,8.6
33,NGA.34_1,Sokoto,35.9
34,NGA.35_1,Taraba,17.9
35,NGA.36_1,Yobe,20.5
36,NGA.37_1,Zamfara,36.6
