"STUDY_ID","REVIEWERS","INCLUDE","journal","abstract","title","volume","pages","author"
"7","Aaron_3","NO","One health (Amsterdam, Netherlands)","Wastewater-based surveillance (WBS) of multidrug-resistant bacteria could complement clinical data, serving as a population-level early warning tool. This study evaluated WBS as a pandemic preparedness tool, by selectively isolating and culturing methicillin-resistant Staphylococcus aureus (MRSA) with CHROMagar MRSA. Some 24-h composite wastewater samples (n = 80) were collected from ten treatment plants across Finland between February 2021 and January 2022. MRSA prevalence in wastewater samples was 27.5% (n = 22/80), showing seasonal and temporal variations. Phenotypic antimicrobial susceptibility testing (AST) with microdilution showed that over 80% of isolates were drug-resistant to clindamycin, sulfamethoxazole/trimethoprim, tetracycline, fusidic acid, and erythromycin. Four isolates (18.2%) were vancomycin-resistant. WGS revealed that 31.8% (n = 7) of the isolates belonged to the ST8-t008 and ST6-t304 spa types, respectively. In addition, two spa types (t011 and t034) belong to the CC398 complex. The mecA gene was found in all isolates (n = 22) and three tetracycline resistance determinants (tet38, tetK, and tetM) were detected with tet38 being the most abundant (81.8%, n = 18/22). Three isolates harboured the plasmid-mediated sat4 gene that confers resistance to Streptothricin. In addition, resistance determinants to macrolide antibiotics (mph (C)/msr (A) and fosfomycin (fosB) were detected in the seven isolates that belonged to spa type t008. All isolates except one harboured the SCCmec_type_IVa(2B). Six ST8 isolates harboured the LukS/F-PV genes encoding the Panton-Valentine leukocidin (PVL) and were also positive for the Arginine Catabolic Mobile Element (ACME), suggesting they belong to the USA300 clone. The Inc18 plasmid was the most abundant as it was detected in 72.7% (n = 16/22) of the isolates. Other plasmid replicons detected were the rep_trans and repA_N which were detected in 45.4% (n = 10/22) and 40.9% (n = 9/22) of the isolates respectively. Ten isolates harboured at least three plasmid replicons and no plasmid replicons were detected in four isolates (ST6/t304). The cgMLST revealed that some isolates aggregated into two genomically indistinguishable clusters: ST6/t304 belonging to cluster type CT12405 (≤20 allelic differences) and ST8/t008 belonging to cluster type CT1925 (<8 allelic differences). Overall, we found a high genotypic concordance with the national clinical bacterial resistance data. Our study demonstrates the sensitivity of culture-based wastewater surveillance for MRSA using clinical media following pre-enrichment, reliably predicting pathogen occurrence at the population level.","Characterization of methicillin resistant Staphylococcus Aureus in municipal wastewater in Finland.","19","100881","Al-Mustapha AI and Tiwari A and Johansson V and Heljanko V and Kirsi-Maarit L and Lipponen A and Oikarinen S and Pitkänen T and Heikinheimo A"
"11","Aaron_3","NO","Heliyon","The emergence of bacteria that is resistant to several drugs of clinical importance poses a threat to successful treatment, a phenomenon known as multidrug resistance that affects diverse classes of antibiotics. The purpose of this study was to evaluate the prevalence of multidrug-resistant Escherichia coli, Salmonella spp. and Staphylococcus aureus in chicken egg, meat and faeces from four districts of Bangladesh. A total of 120 chicken samples were collected from different poultry farms. Conventional culture and molecular detection methods were used for identification of bacterial isolates from the collected samples followed by antibiotic susceptibility test through the disc diffusion method, finally antibiotic resistant genes were detected by PCR. E. coli, Salmonella spp. and Staphylococcus aureus were detected in meat, egg and faecal samples. Antimicrobial susceptibility results revealed isolates from faeces were 100 % resistant to amoxicillin, while all S. aureus and Salmonella sp. from faeces were resistant to doxycycline, tetracycline and erythromycin. Salmonella spp. isolates from eggs indicated 100 % resistance to erythromycin, amoxycillin, while E. coli were 100 % resistant to erythromycin. E. coli and S. aureus from meat were 100 % resistant to amoxicillin and erythromycin. However, Salmonella spp. from eggs were 100 % susceptible to doxycycline, gentamicin, levofloxacin and tetracycline. The mecA and aac(3)-IV genes were only found in S. aureus and E. coli, respectively. The Sul1, tetB, and aadA1 were highest in Salmonella spp. and S. aureus, while the sul1, tetA and bla (SHV) were higher in E. coli. Isolates from all samples were multidrug resistant. These findings indicate a high risk of transmission of resistance genes from microbial contamination to food of animal origin. The study emphasizes the need for effective biosecurity measures, responsible antibiotic use, and strict regulations in poultry production to prevent the spread of antibiotic resistance.","Assessment of the presence of multidrug-resistant Escherichia coli, Salmonella and Staphylococcus in chicken meat, eggs and faeces in Mymensingh division of Bangladesh.","10","e36690","Rafiq K and Sani AA and Hossain MT and Hossain MT and Hadiuzzaman M and Bhuiyan MAS"
"13","Aaron_3","NO","Infection, genetics and evolution : journal of molecular epidemiology and and evolutionary genetics in infectious diseases","Plasmodium falciparum causes the most severe malaria pathogen and has developed resistance to existing drugs making it indispensable to discover new drugs. In order to predict drug targets in silico, a useful model for the metabolism is needed. However, automatically reconstructed network models typically cover more non-confirmed enzymes than confirmed enzymes of known gene products. Furthermore, it needs to be considered that the parasite takes advantage of the metabolism of the host. We compared several reconstructed network models and aimed to find the best suitable reconstruction for detecting drug targets in silico. We computationally reconstructed the metabolism based on automatically inferred enzymes and compared this with a reconstructed model that was based only on enzymes whose coding genes are known. Additionally, we tested if integrating enzymes of the host cell is beneficial for such an analysis. We employed several well established criteria for defining essential enzymes including chokepoints, betweenness centrality (or load-points), connectivity and the diameter of the networks. Comparing the modeling results with a comprehensive list of known drug targets for P. falciparum, showed that we had the best discovery success with a network model consisting only of enzymes from the parasite alone which coding genes were known.","Comparing metabolic network models based on genomic and automatically inferred enzyme information from Plasmodium and its human host to define drug targets in silico.","11","201-8","Fatumo S and Plaimas K and Adebiyi E and König R"
"18","Aaron_3","NO","PloS one","In contrast to developed countries, only limited data on the prevalence, resistance and clonal structure of Staphylococcus aureus are available for African countries. Since S. aureus carriage is a risk factor for postoperative wound infection, patients who had been hospitalized in surgical wards in a Nigerian University Teaching Hospital were screened for S. aureus carriage. All S. aureus isolates were genotyped (spa, agr) and assigned to multilocus sequence types (MLST). Species affiliation, methicillin-resistance, and the possession of pyrogenic toxin superantigens (PTSAg), exfoliative toxins (ETs) and Panton-Valentine Leukocidin (PVL) were analyzed. Of 192 patients screened, the S. aureus carrier rate was 31.8 % (n = 61). Of these isolates, 7 (11.5%) were methicillin-resistant (MRSA). The isolates comprised 24 spa types. The most frequent spa types were t064, t084, t311, and t1931, while the most prevalent MLST clonal complexes were CC5 and CC15. The most frequent PTSAg genes detected were seg/sei (41.0%) followed by seb (29.5%), sea (19.7%), seh (14.7%) and sec (11.5). The difference between the possession of classical and newly described PTSAg genes was not significant (63.9% versus 59.0% respectively; P = 0.602). PVL encoding genes were found in 39.3% isolates. All MRSA isolates were PVL negative, SCCmec types I and VI in MLST CC 5 and CC 30, respectively. Typing of the accessory gene regulator (agr) showed the following distribution: agr group 1 (n = 20), group II (n = 17), group III (n = 14) and group IV (n = 10). Compared to European data, enterotoxin gene seb and PVL-encoding genes were more prevalent in Nigerian methicillin-susceptible S. aureus isolates, which may therefore act as potential reservoir for PVL and PTSAg genes.","Characterization of colonizing Staphylococcus aureus isolated from surgical wards' patients in a Nigerian university hospital.","8","e68721","Kolawole DO and Adeyanju A and Schaumburg F and Akinyoola AL and Lawal OO and Amusa YB and Köck R and Becker K"
"19","Aaron_3","NO","Molecular genetics & genomic medicine","INTRODUCTION: The frequency and implications of secondary findings (SFs) from genomic testing data have been extensively researched. However, little is known about the frequency or reporting of SFs in Africans, who are underrepresented in large-scale population genomic studies. The availability of data from the first whole-genome sequencing for orofacial clefts in an African population motivated this investigation. METHODS: In total, 130 case-parent trios were analyzed for SFs within the ACMG SFv.3.0 list genes. Additionally, we filtered for four more genes (HBB, HSD32B, G6PD and ACADM). RESULTS: We identified 246 unique variants in 55 genes; five variants in four genes were classified as pathogenic or likely pathogenic (P/LP). The P/LP variants were seen in 2.3% (9/390) of the subjects, a frequency higher than ~1% reported for diverse ethnicities. On the ACMG list, pathogenic variants were observed in PRKAG (p. Glu183Lys). Variants in the PALB2 (p. Glu159Ter), RYR1 (p. Arg2163Leu) and LDLR (p. Asn564Ser) genes were predicted to be LP. CONCLUSION: This study provides information on the frequency and pathogenicity of SFs in an African cohort. Early risk detection will help reduce disease burden and contribute to efforts to increase knowledge of the distribution and impact of actionable genomic variants in diverse populations.","Clinically actionable secondary findings in 130 triads from sub-Saharan African families with non-syndromic orofacial clefts.","11","e2237","Oladayo A and Gowans LJJ and Awotoye W and Alade A and Busch T and Naicker T and Eshete MA and Adeyemo WL and Hetmanski JB and Zeng E and Adamson O and Adeleke C and Li M and Sule V and Kayali S and Olotu J and Mossey PA and Obiri-Yeboah S and Buxo CJ and Beaty T and Taub M and Donkor P and Marazita ML and Odukoya O and Adeyemo AA and Murray JC and Prince A and Butali A"
"32","Aaron_3","NO","PloS one","Anopheles mosquitoes are important vectors of malaria and lymphatic filariasis (LF), which are major public health diseases in Nigeria. Malaria is caused by infection with a protozoan parasite of the genus Plasmodium and LF by the parasitic worm Wuchereria bancrofti. Updating our knowledge of the Anopheles species is vital in planning and implementing evidence based vector control programs. To present a comprehensive report on the spatial distribution and composition of these vectors, all published data available were collated into a database. Details recorded for each source were the locality, latitude/longitude, time/period of study, species, abundance, sampling/collection methods, morphological and molecular species identification methods, insecticide resistance status, including evidence of the kdr allele, and P. falciparum sporozoite rate and W. bancrofti microfilaria prevalence. This collation resulted in a total of 110 publications, encompassing 484,747 Anopheles mosquitoes in 632 spatially unique descriptions at 142 georeferenced locations being identified across Nigeria from 1900 to 2010. Overall, the highest number of vector species reported included An. gambiae complex (65.2%), An. funestus complex (17.3%), An. gambiae s.s. (6.5%). An. arabiensis (5.0%) and An. funestus s.s. (2.5%), with the molecular forms An. gambiae M and S identified at 120 locations. A variety of sampling/collection and species identification methods were used with an increase in molecular techniques in recent decades. Insecticide resistance to pyrethroids and organochlorines was found in the main Anopheles species across 45 locations. Presence of P. falciparum and W. bancrofti varied between species with the highest sporozoite rates found in An. gambiae s.s, An. funestus s.s. and An. moucheti, and the highest microfilaria prevalence in An. gambiae s.l., An. arabiensis, and An. gambiae s.s. This comprehensive geo-referenced database provides an essential baseline on Anopheles vectors and will be an important resource for malaria and LF vector control programmes in Nigeria.","Nigeria Anopheles vector database: an overview of 100 years' research.","6","e28347","Okorie PN and McKenzie FE and Ademowo OG and Bockarie M and Kelly-Hope L"
"33","Aaron_3","NO","Medical and veterinary entomology","The emergence of insecticide resistance in Anopheles (Diptera: Culicidae) mosquitoes has great implications for malaria control in Nigeria. This study aimed to determine the dynamics of insecticide susceptibility levels and the frequency of knock-down resistance (kdr) mutations (L1014F) in wild Anopheles coluzzii Coetzee & Wilkerson sp. n. and Anopheles gambiae Giles from the Ojoo and Bodija areas of Ibadan, in southwest Nigeria. Insecticide susceptibility to pyrethroids, organophosphates, carbamates and organochlorines was assessed using World Health Organization (WHO) bioassays. A subset of the mosquitoes exposed to pyrethroids and DDT was used for species and molecular form identification; kdr genotyping was determined using the TaqMan real-time polymerase chain reaction assay. The mosquitoes were resistant to pyrethroids and DDT but completely susceptible to organophosphates and carbamates. Bodija samples (n = 186) consisted of An. gambiae (91.4%) and An. coluzzii (8.1%) and included one An. coluzzii/An. gambiae hybrid specimen. All mosquitoes screened in Ojoo (n = 26) were An. gambiae. The 1014F kdr mutation was detected at frequencies of 24.5 and 5.8% in Bodija and Ojoo, respectively. No correlation was observed between kdr genotypes and resistance phenotypes. The results indicate that metabolic resistance probably plays an important role in the development of resistance and highlight the need to implement insecticide resistance management strategies.","Insecticide susceptibility of Anopheles coluzzii and Anopheles gambiae mosquitoes in Ibadan, Southwest Nigeria.","29","44-50","Okorie PN and Ademowo OG and Irving H and Kelly-Hope LA and Wondji CS"
"50","Aaron_3","NO","International journal of infectious diseases : IJID : official publication of the and International Society for Infectious Diseases","BACKGROUND: Tuberculosis is a major cause of childhood morbidity and mortality in Nigeria. Diagnosis of childhood tuberculosis is a global challenge making early treatment a mirage. In this study we investigated the stools of children for the presence of mycobacteria. METHODS: Stool samples from children aged 3 days to 3 years who presented for postnatal immunization at a large university-based clinic in Nigeria, were subjected to Ziehl-Neelsen staining. Samples with acid-fast bacilli were further processed using mycobacterial culture, spoligotyping, and deletion typing. RESULTS: One hundred and ninety-two stool samples from different children were collected and processed. Thirty (15.6%) had acid-fast bacilli. Of these, eight had Mycobacterium tuberculosis and one had Mycobacterium africanum. CONCLUSIONS: Approximately 5% (9/192) of apparently well children had evidence of potentially serious tuberculosis infection. The usefulness of stool specimens for diagnosing pediatric tuberculosis warrants further investigation.","Mycobacterium tuberculosis and Mycobacterium africanum in stools from children attending an immunization clinic in Ibadan, Nigeria.","13","740-4","Cadmus SI and Jenkins AO and Godfroid J and Osinusi K and Adewole IF and Murphy RL and Taiwo BO"
"55","Aaron_3","NO","Clinical microbiology and infection : the official publication of the European and Society of Clinical Microbiology and Infectious Diseases","Of 109 clinical Escherichia coli isolates from two major tertiary hospitals in Lagos (University Teaching Hospital and the National Orthopaedic Hospital Igbobi), 14 (12.8%) extended-spectrum beta-lactamse (ESBL) producers were characterized using PCR and sequencing, ERIC-PCR and multilocus sequence typing. All ESBL-producing isolates encoded only the CTX-M-15 gene. Clonal group ST131 (35.7%) was the predominant ST, followed by ST617 (28.6%). Isolated cases of other sequence types were also observed. Plasmid-mediated quinolone resistance genes qnrA, qnrB1 and aac-(6')-lb-cr were detected among these ESBL isolates of different clonal groups. This is the first description of the clonality of CTX-M-15-producing E. coli from Nigeria. The presence of diverse clonal lineages shows the continuing potential for genetic diversification and emergence of new epidemic strains.","Sequence type ST131 and ST10 complex (ST617) predominant among CTX-M-15-producing Escherichia coli isolates from Nigeria.","18","E49-51","Aibinu I and Odugbemi T and Koenig W and Ghebremedhin B"
"56","Aaron_3","NO","Malaria journal","BACKGROUND: A reversal of chloroquine (CQ) resistance following a period of withdrawal has raised the possibility of its re-introduction. This study evaluated the current prevalence of Pfcrt and Pfmdr1 alleles in Plasmodium falciparum isolates, 11 years after CQ withdrawal in Southeast Nigeria. METHODS: Filter-paper blood samples were collected from 725 non-febrile individuals, comprising 250 children (≤ 12 years), 250 pregnant women and 225 other adults, between October 2014 and February 2015 in Nnewi town, Southeast Nigeria. Nested PCR followed by direct sequencing was employed for the genotyping of Pfcrt and Pfmdr1 genes. RESULTS: A total of 103 parasites-positive samples were recovered, comprising of 48 (19.20%) among children, 20 (20.00%) among pregnant women and 35 (15.50%) among other adults cohort. The frequency of the mutant genotype of Pfcrt 76T, 75E and 74I was 94.50% each. Parasite isolates from children had a frequency of 100% for mutant alleles in all Pfcrt codons while isolates from pregnant women and other adults had a frequency of 91% each in all codons. Haplotype distribution of pfcrt gene were 5.45, 0.00 and 76.37% for CVMNK, SVMNT and CVIET, respectively. For Pfmdr1 gene, the frequency of 86Y, 184F and 1246Y mutant alleles were 8.54, 29.27 and 3.66%, respectively. Amongst the Pfmdr1 haplotypes analysed, NFD had the highest frequency of 24.4%, followed by YFD at 6.10%. NYF and NYY occurred the least (1.20%). CONCLUSION: The high level of Pfcrt mutations is suggestive of a sustained CQ pressure on P. falciparum isolates in the study area, despite the change of first line treatment from CQ to artemisinin combination therapy for 11 years. A new strategy to ensure the complete withdrawal of CQ from the country is recommended.","Analysis of Plasmodium falciparum Pfcrt and Pfmdr1 genes in parasite isolates from asymptomatic individuals in Southeast Nigeria 11 years after withdrawal of chloroquine.","18","343","Ikegbunam MN and Nkonganyi CN and Thomas BN and Esimone CO and Velavan TP and Ojurongbe O"
